"CodigoTramo","RutaNumero","RutaProvincial","RutaTramo","RutaTipo","RutaLongitud","RutaEstado","RutaSeccion","RutaObservacion","Fecha","Hora"
10,1,1,"Portezuelo Grande - Chihuidos - Emp RP 7","No Pav",173,"TCP",""," Sectores poceados y barro. Zona con animales sueltos. Portación obligatoria de cadenas.","02/09/2026","15:00"
20,2,1,"Chos Malal - Tricao Malal - Cancha Huinganco","No Pav",49,"TCP","","Sectores poceados y barro. Animales sueltos. Portación obligatoria de cadenas.","02/09/2026","15:00"
30,3,1,"Emp. RN 40 - Mariano Moreno - Emp. RP 16","No Pav-Pavim-No Pav",36,"TCP","","Calzada con deformaciones. Animales sueltos. Portacion obligatoria de cadenas.","02/09/2026","15:00"
40,4,1,"El Huecú - Mallín Largo - Naunauco - Emp. RN 40","No Pav",62,"TCP","","Sectores poceados. Equipos operando","02/09/2026","15:00"
50,5,1,"Emp. RP 7 (Punta de Agua) - Rincón de los Sauces","Pavim",73,"TCP","interseccion rp5 y rp 7","Presencia de equipos y personal trabajando en la zona de Baden de Carranza. Desvíos por obra. ","02/09/2026","15:00"
60,6,1,"Octavio Pico - Crucero Catriel","No Pav",27,"TCP","","Sectores poceados . Animales sueltos.","02/09/2026","15:00"
61,6,1,"Crucero Catriel - Rincon de los Sauces","Pavim",54,"TCP","","Sectores con baches.Equipos operando en obra de repavimetación. Animales sueltos.","02/09/2026","15:00"
62,6,1,"Rincón de los Sauces - Puesto Hernández - Emp. RN 40","Pavim-No Pav",110,"TCP","Emp RN 40 - Inicio pavimento","Sectores poceados y barro. Portacion obligatoria de cadenas.","02/09/2026","15:00"
64,6,1,"Chos Malal - El Cholar","No Pav",59,"TCP","","Sectores poceados, barro y serrucho. Portacion obligatoria de cadenas.","02/09/2026","15:00"
66,6,1,"El Cholar - Pichachen","No Pav",66,"TCP","Paso Pichachen : FIN DE TEMPORADA CERRADO"," Sectores poceados, barro. Equipos operando. Portacion obligatoria de cadenas.","02/09/2026","15:00"
70,7,1,"Neuquén - Centenario - Emp RP 51","Pavim",19,"TCP","","Tránsito intenso. Desvios por obra.Transitar a velocidad precautoria. Zona con animales sueltos.","02/09/2026","15:00"
